"STATION","NAME","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00106152","MOSCOW U OF I, ID US","2021-03-17","0.00","0.0","59","27"
"USC00106152","MOSCOW U OF I, ID US","2021-03-18","0.00","0.0","66","36"
"USC00106152","MOSCOW U OF I, ID US","2021-03-19","0.10","0.0","63","37"
"USC00106152","MOSCOW U OF I, ID US","2021-03-20","0.01","0.0","45","29"
"USC00106152","MOSCOW U OF I, ID US","2021-03-21","0.00","0.0","44","32"
"USC00106152","MOSCOW U OF I, ID US","2021-03-22","0.56","2.2","44","31"
"USC00106152","MOSCOW U OF I, ID US","2021-03-23","0.15","0.5","46","25"
"USC00106152","MOSCOW U OF I, ID US","2021-03-24","0.19","0.0","43","29"
"USC00106152","MOSCOW U OF I, ID US","2021-03-25","0.17","0.0","42","34"
"USC00106152","MOSCOW U OF I, ID US","2021-03-26","0.03","0.0","50","28"
"USC00106152","MOSCOW U OF I, ID US","2021-03-27","0.00","0.0","56","27"
"USC00106152","MOSCOW U OF I, ID US","2021-03-28","0.00","0.0","60","39"
"USC00106152","MOSCOW U OF I, ID US","2021-03-29","0.16","0.2","56","28"
"USC00106152","MOSCOW U OF I, ID US","2021-03-30","0.00","0.0","45","19"
"USC00106152","MOSCOW U OF I, ID US","2021-03-31","0.00","0.0","57","25"
"USC00106152","MOSCOW U OF I, ID US","2021-04-01","0.00","0.0","68","35"
"USC00106152","MOSCOW U OF I, ID US","2021-04-02","0.00","0.0","64","31"
"USC00106152","MOSCOW U OF I, ID US","2021-04-03","0.00","0.0","62","34"
"USC00106152","MOSCOW U OF I, ID US","2021-04-04","0.02","0.0","59","30"
"USC00106152","MOSCOW U OF I, ID US","2021-04-05","0.07","0.0","50","32"
"USC00106152","MOSCOW U OF I, ID US","2021-04-06","0.00","0.0","60","25"
"USC00106152","MOSCOW U OF I, ID US","2021-04-07","0.00","0.0","61","35"
"USC00106152","MOSCOW U OF I, ID US","2021-04-08","0.12","0.0","51","35"
"USC00106152","MOSCOW U OF I, ID US","2021-04-09","0.00","0.0","57","23"
"USC00106152","MOSCOW U OF I, ID US","2021-04-10","0.15","1.1","53","33"
"USC00106152","MOSCOW U OF I, ID US","2021-04-11","0.00","0.0","47","17"
"USC00106152","MOSCOW U OF I, ID US","2021-04-12","0.00","0.0","55","19"
"USC00106152","MOSCOW U OF I, ID US","2021-04-13","0.00","0.0","56","33"
"USC00106152","MOSCOW U OF I, ID US","2021-04-14","0.00","0.0","62","30"
"USC00106152","MOSCOW U OF I, ID US","2021-04-15","0.00","0.0","66","37"
"USC00106152","MOSCOW U OF I, ID US","2021-04-16","0.00","0.0","68","34"
"USC00106152","MOSCOW U OF I, ID US","2021-04-17","0.00","0.0","73","37"
"USC00106152","MOSCOW U OF I, ID US","2021-04-18","0.00","0.0","74","36"
"USC00106152","MOSCOW U OF I, ID US","2021-04-19","0.00","0.0","71","33"
"USC00106152","MOSCOW U OF I, ID US","2021-04-20","0.00","0.0","60","27"
"USC00106152","MOSCOW U OF I, ID US","2021-04-21","0.00","0.0","66","29"
"USC00106152","MOSCOW U OF I, ID US","2021-04-22","0.00","0.0","67","33"
"USC00106152","MOSCOW U OF I, ID US","2021-04-23","0.00","0.0","63","31"
"USC00106152","MOSCOW U OF I, ID US","2021-04-24","0.06","0.0","60","40"
"USC00106152","MOSCOW U OF I, ID US","2021-04-25","0.10","0.0","55","40"
"USC00106152","MOSCOW U OF I, ID US","2021-04-26","0.00","0.0","60","33"
"USC00106152","MOSCOW U OF I, ID US","2021-04-27","0.00","0.0","63","30"
"USC00106152","MOSCOW U OF I, ID US","2021-04-28","0.00","0.0","68","32"
"USC00106152","MOSCOW U OF I, ID US","2021-04-29","0.00","0.0","78","44"
"USC00106152","MOSCOW U OF I, ID US","2021-04-30","0.00","0.0","77","44"
"USC00106152","MOSCOW U OF I, ID US","2021-05-01","0.00","0.0","67","45"
"USC00106152","MOSCOW U OF I, ID US","2021-05-02","0.00","0.0","63","38"
"USC00106152","MOSCOW U OF I, ID US","2021-05-03","0.00","0.0","65","32"
"USC00106152","MOSCOW U OF I, ID US","2021-05-04","0.00","0.0","65","34"
