"year_id","year","jan_prcp_in"
1,1991,2.1
2,1992,2.67
3,1993,1.59
4,1994,2.42
5,1995,3.77
6,1996,4.75
7,1997,4.37
8,1998,3.51
9,1999,3.42
10,2000,2.21
11,2001,1.39
12,2002,3.63
13,2003,6.47
14,2004,3.81
15,2005,1.8
16,2006,6.87
17,2007,2.19
18,2008,3.06
19,2009,3.82
20,2010,2.93
21,2011,3.83
22,2012,3.92
23,2013,2.09
24,2014,2.78
25,2015,2.61
26,2016,4.52
27,2017,2.55
28,2018,3.72
29,2019,2.37
30,2020,4.72
31,2021,3.98
32,2022,2.89
33,2023,1.45
34,2024,2.91
35,2025,1.99
36,2026,2.08
